
保有証券一覧

株式（特定預り）合計

評価額合計,評価損益合計
7361450,+572250

株式（特定預り）

銘柄コード,銘柄名称,保有株数,売却注文中,取得単価,現在値,取得金額,評価額,評価損益
"1911","住友林",300,,1455,1435,436500,430500,-6000
"2768","双日",100,,3498,3605,349800,360500,+10700
"3443","川田ＴＥＣＨ",100,,3140,3805,314000,380500,+66500
"4208","ＵＢＥ",100,,2082,2279.5,208200,227950,+19750
"5351","品川リフラ",100,,1588,1652,158800,165200,+6400
"5363","ＴＹＫ",1000,,486,558,486000,558000,+72000
"5889","ＪＥＨ",200,,2135,2209,427000,441800,+14800
"6369","トーヨーカネツ",100,,3886,3925,388600,392500,+3900
"6393","油研工",100,,2390,2652,239000,265200,+26200
"6745","ホーチキ",100,,2472,3045,247200,304500,+57300
"6777","ｓａｎｔｅｃＨＤ",100,,4249,5250,424900,525000,+100100
"6863","ニレコ",100,,1626,1975,162600,197500,+34900
"6890","フェローテック",100,,2453,3175,245300,317500,+72200
"7313","ＴＳテック",200,,1704,1721,340800,344200,+3400
"8012","長瀬産",100,,2540,2782,254000,278200,+24200
"8016","オンワードＨＤ",900,,579,583,521100,524700,+3600
"8078","阪和興",100,,5221,5530,522100,553000,+30900
"8541","愛媛銀",100,,1048,1009,104800,100900,-3900
"9304","渋沢倉",100,,4096,4025,409600,402500,-7100
"9768","いであ",100,,2924,3160,292400,316000,+23600
"9960","東テク",100,,2565,2753,256500,275300,+18800

株式（NISA預り（成長投資枠））合計

評価額合計,評価損益合計
2450200,+234820

株式（NISA預り（成長投資枠））

銘柄コード,銘柄名称,保有株数,売却注文中,取得単価,現在値,取得金額,評価額,評価損益
"1814","大末建",100,,1607,2211,160700,221100,+60400
"4202","ダイセル",100,,1371,1216.5,137100,121650,-15450
"6301","コマツ",100,,3574,4735,357400,473500,+116100
"7267","ホンダ",100,,1476,1443,147600,144300,-3300
"7272","ヤマハ発",100,,1218,1083.5,121800,108350,-13450
"7481","尾家産",100,,2104,2093,210400,209300,-1100
"8029","ルックＨＤ",100,,2410,2444,241000,244400,+3400
"8725","ＭＳ＆ＡＤ",120,,2399,3120,287880,374400,+86520
"8985","ＪＨＲ",1,,74800,75500,74800,75500,+700
"9104","商船三井",100,,4767,4777,476700,477700,+1000

株式（旧NISA預り）合計

評価額合計,評価損益合計
1499690,+387065

株式（旧NISA預り）

銘柄コード,銘柄名称,保有株数,売却注文中,取得単価,現在値,取得金額,評価額,評価損益
"2914","ＪＴ",35,,3155,4218,110425,147630,+37205
"4554","富士製薬",100,,1156,1342,115600,134200,+18600
"7261","マツダ",100,,1225,883.1,122500,88310,-34190
"7735","スクリン",10,,8220,12045,82200,120450,+38250
"8016","オンワードＨＤ",100,,414,583,41400,58300,+16900
"8306","三菱ＵＦＪ",200,,970,2015.5,194000,403100,+209100
"8593","三菱ＨＣキャピタル",200,,773,1085,154600,217000,+62400
"9432","ＮＴＴ",500,,163,153.9,81500,76950,-4550
"9513","Ｊパワー",100,,2104,2537.5,210400,253750,+43350

投資信託（金額/NISA預り（つみたて投資枠））合計

評価額合計,評価損益合計
1941547,+121523

投資信託（金額/NISA預り（つみたて投資枠））

ファンド名,保有口数,売却注文中,取得単価,基準価額,取得金額,評価額,評価損益,分配金受取方法
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",283135口,,31081,32551,880011,921632,+41621,再投資
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（オール・カントリー）",152067口,,25647,27477,390006,417834,+27828,再投資
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　国内株式（ＴＯＰＩＸ）",133773口,,20931,22051,280000,294982,+14982,再投資
"大和－ｉＦｒｅｅＮＥＸＴ　ＮＡＳＤＡＱ１００インデックス",66307口,,34688,38760,230005,257005,+27000,再投資
"ＳＢＩ－ＳＢＩ・Ｖ・全米株式インデックス・ファンド",26885口,,14879,18633,40002,50094,+10092,再投資
