
約定履歴照会

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2025年06月05日","2025年07月04日","926","1","926"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2025/06/05","データセクション","3905","東証",信用新規売,"日計りH"," 特定 ","--",100,2064,--,--,"2025/06/09",--
"2025/06/05","データセクション","3905","東証",信用新規売,"日計りH"," 特定 ","--",100,2076,--,--,"2025/06/09",--
"2025/06/05","データセクション","3905","東証",信用新規売,"日計りH"," 特定 ","--",100,2076,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","PTS（O）",信用新規売,"6ヶ月"," 特定 ","--",100,1967.8,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","PTS（X）",信用新規売,"6ヶ月"," 特定 ","--",100,1973,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","東証",信用新規売,"6ヶ月"," 特定 ","--",200,1973,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","PTS（O）",信用新規売,"6ヶ月"," 特定 ","--",200,1943.1,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","PTS（X）",信用新規売,"6ヶ月"," 特定 ","--",100,1943.2,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","PTS（X）",信用新規売,"6ヶ月"," 特定 ","--",100,1943.3,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","PTS（X）",信用新規売,"6ヶ月"," 特定 ","--",100,1973.1,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","PTS（O）",信用新規売,"6ヶ月"," 特定 ","--",100,1973.1,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","PTS（X）",信用新規売,"6ヶ月"," 特定 ","--",100,1967.9,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","PTS（O）",信用新規売,"6ヶ月"," 特定 ","--",200,1967.9,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","PTS（O）",信用新規売,"6ヶ月"," 特定 ","--",100,1943.2,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","PTS（X）",信用新規売,"6ヶ月"," 特定 ","--",100,1943,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","東証",信用新規売,"6ヶ月"," 特定 ","--",100,1943,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","東証",信用新規売,"6ヶ月"," 特定 ","--",300,1942,--,--,"2025/06/09",--
"2025/06/05","センコーグループホールディングス","9069","PTS（X）",信用新規売,"6ヶ月"," 特定 ","--",100,1968,--,--,"2025/06/09",--
"2025/06/05","住友金属鉱山","5713","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,3331.1,84,--,"2025/06/09",-4174
"2025/06/05","住友金属鉱山","5713","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,3331.1,84,--,"2025/06/09",-4174
"2025/06/05","住友金属鉱山","5713","東証",信用返済売,"6ヶ月"," 特定 ","申告",500,3330,421,--,"2025/06/09",-21921
"2025/06/05","住友金属鉱山","5713","東証",信用返済売,"6ヶ月"," 特定 ","申告",300,3331,252,--,"2025/06/09",-12852
"2025/06/05","住友金属鉱山","5713","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,3329,84,--,"2025/06/09",-4584
"2025/06/05","住友金属鉱山","5713","東証",信用返済売,"6ヶ月"," 特定 ","申告",400,3329,337,--,"2025/06/09",-17937
"2025/06/05","ジャパンエンジンコーポレーション","6016","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,4877.5,117,--,"2025/06/09",18633
"2025/06/05","ジャパンエンジンコーポレーション","6016","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,4877.5,117,--,"2025/06/09",18633
"2025/06/05","アドバンテスト","6857","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,7772.8,48,--,"2025/06/09",5042
"2025/06/05","アドバンテスト","6857","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,7772.8,48,--,"2025/06/09",5042
"2025/06/05","レーザーテック","6920","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,14365.4,89,--,"2025/06/09",8951
"2025/06/05","レーザーテック","6920","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,14375.9,89,--,"2025/06/09",10001
"2025/06/05","レーザーテック","6920","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,14376.7,89,--,"2025/06/09",10081
"2025/06/05","レーザーテック","6920","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,14173.1,88,--,"2025/06/09",222
"2025/06/05","レーザーテック","6920","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,14365.3,89,--,"2025/06/09",8941
"2025/06/05","レーザーテック","6920","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,14376.9,89,--,"2025/06/09",10101
"2025/06/05","ローム","6963","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,1718.5,10,--,"2025/06/09",-340
"2025/06/05","ローム","6963","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,1718.5,10,--,"2025/06/09",-330
"2025/06/05","ローム","6963","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,1718.5,10,--,"2025/06/09",-310
"2025/06/05","ローム","6963","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,1718.5,10,--,"2025/06/09",-320
"2025/06/05","ローム","6963","東証",信用返済売,"6ヶ月"," 特定 ","申告",300,1718.5,32,--,"2025/06/09",-1052
"2025/06/05","ローム","6963","東証",信用返済売,"6ヶ月"," 特定 ","申告",300,1718.5,32,--,"2025/06/09",-1052
"2025/06/05","名村造船所","7014","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,2333,58,--,"2025/06/09",-658
"2025/06/05","名村造船所","7014","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,2334.1,58,--,"2025/06/09",-548
"2025/06/05","名村造船所","7014","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,2334.4,58,--,"2025/06/09",-518
"2025/06/05","名村造船所","7014","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,2334.6,58,--,"2025/06/09",-498
"2025/06/05","名村造船所","7014","東証",信用返済売,"6ヶ月"," 特定 ","申告",200,2334,116,--,"2025/06/09",-1116
"2025/06/05","名村造船所","7014","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",200,2334.4,116,--,"2025/06/09",-1036
"2025/06/05","名村造船所","7014","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",200,2334.5,116,--,"2025/06/09",-1016
"2025/06/05","三菱倉庫","9301","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",300,1159.5,87,--,"2025/06/09",-1557
"2025/06/05","三菱倉庫","9301","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,1159.5,29,--,"2025/06/09",-519
"2025/06/05","三菱倉庫","9301","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,1159.7,29,--,"2025/06/09",-489
"2025/06/05","三菱倉庫","9301","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,1159.7,29,--,"2025/06/09",-499
"2025/06/05","三菱倉庫","9301","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,1159.5,29,--,"2025/06/09",-529
"2025/06/05","三菱倉庫","9301","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",300,1159.5,87,--,"2025/06/09",-2337
"2025/06/05","三菱倉庫","9301","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,1159.6,29,--,"2025/06/09",-509
"2025/06/05","三菱倉庫","9301","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,1159,29,--,"2025/06/09",-819
