
保有証券一覧

株式（特定預り）合計

評価額合計,評価損益合計
4623440,+665840

株式（特定預り）

銘柄コード,銘柄名称,保有株数,売却注文中,取得単価,現在値,取得金額,評価額,評価損益
"1605","ＩＮＰＥＸ",100,,2274,2053.5,227400,205350,-22050
"167A","リョーサン菱洋",100,,2450,2652,245000,265200,+20200
"4063","信越化",100,,3753,4874,375300,487400,+112100
"5301","東海カーボン",200,,1035,1014,207000,202800,-4200
"5401","日本製鉄",100,,2983,2780.5,298300,278050,-20250
"6062","チャームケア",200,,1185,1329,237000,265800,+28800
"6178","日本郵政",100,,1275,1356,127500,135600,+8100
"6675","サクサ",100,,2905,4020,290500,402000,+111500
"6677","エスケーエレク",100,,1899,2691,189900,269100,+79200
"8029","ルックＨＤ",100,,2568,2444,256800,244400,-12400
"8058","三菱商事",200,,2088,2919.5,417600,583900,+166300
"8306","三菱ＵＦＪ",100,,1815,2015.5,181500,201550,+20050
"8411","みずほ",100,,2580,4055,258000,405500,+147500
"8601","大和証Ｇ",500,,944,1015,472000,507500,+35500
"9432","ＮＴＴ",1100,,158,153.9,173800,169290,-4510

株式（NISA預り（成長投資枠））合計

評価額合計,評価損益合計
4308570,+431710

株式（NISA預り（成長投資枠））

銘柄コード,銘柄名称,保有株数,売却注文中,取得単価,現在値,取得金額,評価額,評価損益
"2114","フジ日本",100,,1077,1073,107700,107300,-400
"3388","明治電機",100,,1432,1852,143200,185200,+42000
"4063","信越化",100,,3785,4874,378500,487400,+108900
"4554","富士製薬",100,,1661,1342,166100,134200,-31900
"5013","ユシロ",100,,1850,2037,185000,203700,+18700
"5301","東海カーボン",300,,786,1014,235800,304200,+68400
"6417","ＳＡＮＫＹＯ",100,,1828,2668.5,182800,266850,+84050
"6675","サクサ",100,,3119,4020,311900,402000,+90100
"6677","エスケーエレク",100,,3110,2691,311000,269100,-41900
"7203","トヨタ自",100,,2499,2484.5,249900,248450,-1450
"7272","ヤマハ発",100,,972,1083.5,97200,108350,+11150
"8035","東エレク",20,,23218,27175,464360,543500,+79140
"8150","三信電気",100,,2267,2324,226700,232400,+5700
"8253","クレセゾン",100,,2767,3956,276700,395600,+118900
"8511","日証金",100,,1654,1730,165400,173000,+7600
"9163","ナレルグループ",100,,3550,2251,355000,225100,-129900
"9434","ソフトバンク",100,,196,222.2,19600,22220,+2620

投資信託（金額/NISA預り（つみたて投資枠））合計

評価額合計,評価損益合計
2057613,+157597

投資信託（金額/NISA預り（つみたて投資枠））

ファンド名,保有口数,売却注文中,取得単価,基準価額,取得金額,評価額,評価損益,分配金受取方法
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　国内株式（日経平均）",75541口,,18533,19403,140000,146572,+6572,再投資
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",123056口,,31693,33054,390001,406749,+16748,再投資
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　国内株式（ＴＯＰＩＸ）",33625口,,20818,22043,70000,74119,+4119,再投資
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　新興国株式インデックス",97599口,,16394,17729,160003,173033,+13030,再投資
"大和－ｉＦｒｅｅＮＥＸＴ　ＮＡＳＤＡＱ１００インデックス",128834口,,35317,39417,455003,507824,+52821,再投資
"大和－ｉＦｒｅｅ　ＮＹダウ・インデックス",50430口,,41642,39784,210000,200630,-9370,再投資
"ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",181426口,,26182,30243,475009,548686,+73677,再投資

投資信託（金額/旧つみたてNISA預り）合計

評価額合計,評価損益合計
552654,+192650

投資信託（金額/旧つみたてNISA預り）

ファンド名,保有口数,売却注文中,取得単価,基準価額,取得金額,評価額,評価損益,分配金受取方法
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（オール・カントリー）",65034口,,18452,27829,120000,180983,+60983,再投資
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　先進国株式インデックス",54359口,,22076,33861,120002,184065,+64063,再投資
"ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",62033口,,19345,30243,120002,187606,+67604,再投資
