銘柄,銘柄,銘柄,銘柄,銘柄,銘柄,銘柄,預り区分,保有株数,注文株数,取得単価,現在値,現在値,評価損益,評価損益(%),買付金額,評価額,基準値,基準値比,基準値比(%),決算月,貸株金利,始値,高値,安値,売買代金(千円),出来高,予想PER(倍),実績PBR(倍),予想配当利回り(%),予想EPS,実績BPS,予想1株配当,貸借区分,騰落チャート(日足)
,,,,1814,大末建設,東P,NISA,100,--,"1,607",--,,--,--%,"160,700",--,"2,211",--,--%,3月,0.10%,--,--,--,--,--,10.36,1.00,4.88,213.4,"2,200.96",108,貸借,
,,,,1911,住友林業,東P,特定,300,--,"1,455","1,434",→,"-6,300",-1.44%,"436,500","430,200","1,435",-1,-0.07%,12月,0.10%,"1,436.7","1,438","1,433","1,722","1,200",7.14,0.96,4.24,200.7,"1,499.06",60.833,貸借,
,,,,2768,双日,東P,特定,100,--,"3,498",--,,--,--%,"349,800",--,"3,605",--,--%,3月,0.10%,--,--,--,--,--,6.55,0.78,4.58,550.4,"4,595.93",165,貸借,
,,,,2914,日本たばこ産業,東P,旧NISA,35,--,"3,155","4,210",↑,"+36,925",+33.44%,"110,425","147,350","4,218",-8,-0.19%,12月,0.10%,"4,198","4,210","4,198",840,200,16.07,1.98,4.61,261.9,"2,121.33",194 ~ 200,貸借,
,,,,3443,川田テクノロジーズ,東P,特定,100,--,"3,140",--,,--,--%,"314,000",--,"3,805",--,--%,3月,0.20%,--,--,--,--,--,8.85,0.73,3.42,430.0,"5,238.20",130 ~ 135,貸借,
,,,,4202,ダイセル,東P,NISA,100,--,"1,371",--,,--,--%,"137,100",--,"1,216.5",--,--%,3月,0.10%,--,--,--,--,--,5.76,0.90,4.93,211.2,"1,357.77",60 ~ 62,貸借,
,,,,4208,ＵＢＥ,東P,特定,100,--,"2,082","2,268.1",↓,"+18,610",+8.94%,"208,200","226,810","2,279.5",-11.4,-0.50%,3月,0.10%,"2,268.1","2,268.1","2,268.1",226,100,8.01,0.56,4.85,283.1,"4,067.90",110 ~ 115,貸借,
,,,,4554,富士製薬工業,東P,旧NISA,100,--,"1,156",--,,--,--%,"115,600",--,"1,342",--,--%,9月,0.10%,--,--,--,--,--,9.70,0.72,3.39,138.4,"1,871.64",45.5,貸借,
,,,,5351,品川リフラクトリーズ,東P,特定,100,--,"1,588",--,,--,--%,"158,800",--,"1,652",--,--%,3月,0.10%,--,--,--,--,--,9.42,0.85,5.45,175.3,"1,951.55",90,貸借,
,,,,5363,東京窯業,東S,特定,"1,000",--,486,--,,--,--%,"486,000",--,558,--,--%,3月,0.20%,--,--,--,--,--,9.39,0.61,3.21,59.4,920.65,17.9,貸借,
,,,,5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,東S,特定,200,--,"2,135",--,,--,--%,"427,000",--,"2,209",--,--%,1月,0.25%,--,--,--,--,--,13.32,3.24,3.80,165.8,681.09,84,信用,
,,,,6301,小松製作所,東P,NISA,100,--,"3,574",--,,--,--%,"357,400",--,"4,735",--,--%,3月,0.10%,--,--,--,--,--,11.62,1.38,4.01,407.6,"3,438.70",190,貸借,
,,,,6369,トーヨーカネツ,東P,特定,100,--,"3,886",--,,--,--%,"388,600",--,"3,925",--,--%,3月,0.10%,--,--,--,--,--,12.14,0.78,5.10,323.2,"5,028.98",200,貸借,
,,,,6393,油研工業,東S,特定,100,--,"2,390",--,,--,--%,"239,000",--,"2,652",--,--%,3月,0.10%,--,--,--,--,--,9.50,0.42,5.66,279.2,"6,277.32",150,貸借,
,,,,6745,ホーチキ,東P,特定,100,--,"2,472",--,,--,--%,"247,200",--,"3,045",--,--%,3月,0.10%,--,--,--,--,--,10.52,1.28,2.63,289.5,"2,377.19",80,貸借,
,,,,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,東S,特定,100,--,"4,249",--,,--,--%,"424,900",--,"5,250",--,--%,3月,0.30%,--,--,--,--,--,12.86,2.88,2.86,408.1,"1,822.06",150 ~ 160,信用,
,,,,6863,ニレコ,東S,特定,100,--,"1,626",--,,--,--%,"162,600",--,"1,975",--,--%,3月,0.30%,--,--,--,--,--,10.52,0.88,4.30,187.7,"2,236.86",85,信用,
,,,,6890,フェローテック,東S,特定,100,--,"2,453",--,,--,--%,"245,300",--,"3,175",--,--%,3月,0.15%,--,--,--,--,--,9.29,0.63,4.66,341.7,"5,058.27",148,貸借,
,,,,7261,マツダ,東P,旧NISA,100,--,"1,225",--,,--,--%,"122,500",--,883.1,--,--%,3月,0.10%,--,--,--,--,--,11.60,0.31,3.40,76.1,"2,843.31",30 ~ 55,貸借,
,,,,7267,本田技研工業,東P,NISA,100,--,"1,476","1,445",↑,"-3,100",-2.10%,"147,600","144,500","1,443",+2,+0.14%,3月,0.10%,"1,445","1,445","1,445",144,100,13.85,0.51,4.84,104.3,"2,835.96",70 ~ 80,貸借,
,,,,7272,ヤマハ発動機,東P,NISA,100,--,"1,218","1,079.5",↓,"-13,850",-11.37%,"121,800","107,950","1,083.5",-4,-0.37%,12月,0.10%,"1,080","1,080","1,079.5",216,200,7.49,0.91,4.63,144.2,"1,188.23",50,貸借,
,,,,7313,テイ・エス　テック,東P,特定,200,--,"1,704",--,,--,--%,"340,800",--,"1,721",--,--%,3月,0.10%,--,--,--,--,--,20.64,0.67,5.23,83.4,"2,568.48",90,貸借,
,,,,7481,尾家産業,東S,NISA,100,--,"2,104",--,,--,--%,"210,400",--,"2,093",--,--%,3月,0.10%,--,--,--,--,--,6.67,1.20,4.49,313.7,"1,746.60",94 ~ 96,信用,
,,,,7735,ＳＣＲＥＥＮホールディングス,東P,旧NISA,10,--,"8,220",--,,--,--%,"82,200",--,"12,045",--,--%,3月,0.10%,--,--,--,--,--,12.93,2.74,2.32,931.8,"4,398.46",280,貸借,
,,,,8012,長瀬産業,東P,特定,100,--,"2,540",--,,--,--%,"254,000",--,"2,782",--,--%,3月,0.10%,--,--,--,--,--,9.43,0.76,3.41,294.9,"3,679.09",95,貸借,
,,,,8016,オンワードホールディングス,東P,特定,900,--,579,--,,--,--%,"521,100",--,583,--,--%,2月,0.10%,--,--,--,--,--,7.93,0.94,5.15,73.5,620.43,30,貸借,
,,,,8016,オンワードホールディングス,東P,旧NISA,100,--,414,--,,--,--%,"41,400",--,583,--,--%,2月,0.10%,--,--,--,--,--,7.93,0.94,5.15,73.5,620.43,30,貸借,
,,,,8029,ルックホールディングス,東S,NISA,100,--,"2,410",--,,--,--%,"241,000",--,"2,444",--,--%,12月,0.10%,--,--,--,--,--,13.02,0.48,4.09,187.7,"5,083.79",100,貸借,
,,,,8078,阪和興業,東P,特定,100,--,"5,221",--,,--,--%,"522,100",--,"5,530",--,--%,3月,0.10%,--,--,--,--,--,5.55,0.58,4.52,995.5,"9,485.64",250,貸借,
,,,,8306,三菱ＵＦＪフィナンシャル・グループ,東P,旧NISA,200,--,970,"2,010",↑,"+208,000",+107.22%,"194,000","402,000","2,015.5",-5.5,-0.27%,3月,0.10%,"2,012","2,014.7","2,007.1","10,653","5,300",11.48,1.13,3.48,175.1,"1,783.37",70,貸借,
,,,,8541,愛媛銀行,東P,特定,100,--,"1,048",--,,--,--%,"104,800",--,"1,009",--,--%,3月,0.10%,--,--,--,--,--,6.79,0.29,3.57,148.5,"3,469.25",36,貸借,
,,,,8593,三菱ＨＣキャピタル,東P,旧NISA,200,--,773,"1,080.5",↑,"+61,500",+39.78%,"154,600","216,100","1,085",-4.5,-0.41%,3月,0.10%,"1,081","1,081","1,080",324,300,9.69,0.87,4.16,111.5,"1,246.64",45,貸借,
,,,,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,東P,NISA,120,--,"2,399","3,128",→,"+87,480",+30.39%,"287,880","375,360","3,120",+8,+0.26%,3月,0.10%,"3,132","3,132","3,127","3,129","1,000",8.16,1.18,4.96,383.1,"2,647.01",155,貸借,
,,,,8985,ジャパン・ホテル・リート投資法人　投資証券,東R,NISA,1,--,"74,800",--,,--,--%,"74,800",--,"75,500",--,--%,--,0.10%,--,--,--,--,--,--,--,--,--,--,--,貸借,
,,,,9104,商船三井,東P,NISA,100,--,"4,767","4,770.3",↓,+330,+0.07%,"476,700","477,030","4,777",-6.7,-0.14%,3月,0.10%,"4,770.4","4,770.4","4,770.3",954,200,9.63,0.62,3.14,495.2,"7,687.49",150,貸借,
,,,,9304,澁澤倉庫,東P,特定,100,--,"4,096",--,,--,--%,"409,600",--,"4,025",--,--%,3月,0.10%,--,--,--,--,--,11.36,0.90,4.47,354.3,"4,472.42",180,貸借,
,,,,9432,ＮＴＴ,東P,旧NISA,500,--,163,154.2,↑,"-4,400",-5.40%,"81,500","77,100",153.9,+0.3,+0.19%,3月,0.10%,154.1,154.7,154,"9,743","63,200",12.44,1.25,3.44,12.4,123.54,5.3,貸借,
,,,,9513,電源開発,東P,旧NISA,100,--,"2,104",--,,--,--%,"210,400",--,"2,537.5",--,--%,3月,0.10%,--,--,--,--,--,5.22,0.35,3.94,486.2,"7,305.66",100,貸借,
,,,,9768,いであ,東S,特定,100,--,"2,924",--,,--,--%,"292,400",--,"3,160",--,--%,12月,0.10%,--,--,--,--,--,9.40,0.79,3.73,336.2,"4,023.64",118,信用,
,,,,9960,東テク,東P,特定,100,--,"2,565",--,,--,--%,"256,500",--,"2,753",--,--%,3月,0.20%,--,--,--,--,--,10.59,1.85,3.78,259.9,"1,487.75",104,貸借,
