銘柄,銘柄,銘柄,銘柄,銘柄,銘柄,銘柄,預り区分,保有株数,注文株数,取得単価,現在値,現在値,評価損益,評価損益(%),買付金額,評価額,前日終値,前日比,前日比(%),評価額前日比,評価額前日比(%),決算月,貸株金利,騰落チャート(5分足),始値,高値,安値,売買代金(千円),出来高,予想PER(倍),実績PBR(倍),予想配当利回り(%),予想EPS,実績BPS,予想1株配当,貸借区分,騰落チャート(日足)
,,,,8601,大和証券グループ本社,東P,特定,500,--,944,994,↑,"+25,000",+5.30%,"472,000","497,000","1,015",-21,-2.07%,"-10,500",-2.07%,3月,0.10%,,"1,008.5","1,012",991.3,"4,014,556","4,029,900",10.15,0.86,4.83,97.9,"1,158.82",48,貸借,
,,,,8411,みずほフィナンシャルグループ,東P,特定,100,--,"2,580","3,957",↑,"+137,700",+53.37%,"258,000","395,700","4,055",-98,-2.42%,"-9,800",-2.42%,3月,0.10%,,"4,037","4,065","3,944","33,262,445","8,355,600",10.41,0.95,3.66,380.1,"4,161.03",145,貸借,
,,,,6062,チャーム・ケア・コーポレーション,東P,特定,200,--,"1,185","1,291",↑,"+21,200",+8.95%,"237,000","258,200","1,329",-38,-2.86%,"-7,600",-2.86%,6月,0.10%,,"1,317","1,321","1,290","44,391","34,100",8.93,2.22,2.63,144.5,580.81,34,貸借,
,,,,4063,信越化学工業,東P,特定,100,--,"3,753","4,824",↑,"+107,100",+28.54%,"375,300","482,400","4,874",-50,-1.03%,"-5,000",-1.03%,3月,0.10%,,"4,884","4,892","4,801","32,959,959","6,821,900",16.51,2.03,2.20,292.1,"2,375.48",106 ~ 112,貸借,
,,,,4063,信越化学工業,東P,NISA,100,--,"3,785","4,824",↑,"+103,900",+27.45%,"378,500","482,400","4,874",-50,-1.03%,"-5,000",-1.03%,3月,0.10%,,"4,884","4,892","4,801","32,959,959","6,821,900",16.51,2.03,2.20,292.1,"2,375.48",106 ~ 112,貸借,
,,,,8306,三菱ＵＦＪフィナンシャル・グループ,東P,特定,100,--,"1,815","1,969",↑,"+15,400",+8.48%,"181,500","196,900","2,015.5",-46.5,-2.31%,"-4,650",-2.31%,3月,0.10%,,"2,009","2,019.5","1,965","85,729,768","43,315,200",11.25,1.10,3.56,175.1,"1,783.37",70,貸借,
,,,,5401,日本製鉄,東P,特定,100,--,"2,983","2,736",↑,"-24,700",-8.28%,"298,300","273,600","2,780.5",-44.5,-1.60%,"-4,450",-1.60%,3月,0.10%,,"2,770","2,772","2,728","11,472,789","4,182,700",14.29,0.53,4.39,191.4,"5,150.56",120,貸借,
,,,,1605,ＩＮＰＥＸ,東P,特定,100,--,"2,274","2,021",↑,"-25,300",-11.13%,"227,400","202,100","2,053.5",-32.5,-1.58%,"-3,250",-1.58%,12月,0.10%,,"2,040","2,041","2,004","9,758,604","4,839,500",8.07,0.50,4.45,250.5,"4,026.22",90,貸借,
,,,,8058,三菱商事,東P,特定,200,--,"2,088","2,903.5",↑,"+163,100",+39.06%,"417,600","580,700","2,919.5",-16,-0.55%,"-3,200",-0.55%,3月,0.10%,,"2,919","2,933.5","2,897","17,449,336","5,997,700",15.92,1.23,3.79,182.4,"2,355.22",110,貸借,
,,,,7203,トヨタ自動車,東P,NISA,100,--,"2,499","2,453.5",↑,"-4,550",-1.82%,"249,900","245,350","2,484.5",-31,-1.25%,"-3,100",-1.25%,3月,0.10%,,"2,500","2,502","2,442","51,132,799","20,788,700",9.93,0.89,3.87,247.1,"2,753.09",95,貸借,
,,,,167A,リョーサン菱洋ホールディングス,東P,特定,100,--,"2,450","2,623",↑,"+17,300",+7.06%,"245,000","262,300","2,652",-29,-1.09%,"-2,900",-1.09%,3月,0.10%,,"2,655","2,663","2,616","291,500","110,900",17.53,0.80,5.34,149.6,"3,280.12",140,貸借,
,,,,7272,ヤマハ発動機,東P,NISA,100,--,972,"1,056.5",↓,"+8,450",+8.69%,"97,200","105,650","1,083.5",-27,-2.49%,"-2,700",-2.49%,12月,0.10%,,"1,084","1,092","1,056.5","5,368,198","5,028,100",7.33,0.89,4.73,144.2,"1,188.23",50,貸借,
,,,,5013,ユシロ,東S,NISA,100,--,"1,850","2,011",↓,"+16,100",+8.70%,"185,000","201,100","2,037",-26,-1.28%,"-2,600",-1.28%,3月,0.10%,,"2,031","2,034","2,002","34,125","16,900",6.22,0.63,4.87,323.4,"3,213.91",98,貸借,
,,,,5301,東海カーボン,東P,NISA,300,--,786,"1,006",↑,"+66,000",+27.99%,"235,800","301,800","1,014",-8,-0.79%,"-2,400",-0.79%,12月,0.10%,,"1,003.5","1,014.5",999.3,"655,001","650,400",19.53,0.74,2.98,51.5,"1,356.42",30,貸借,
,,,,8150,三信電気,東P,NISA,100,--,"2,267","2,302",↓,"+3,500",+1.54%,"226,700","230,200","2,324",-22,-0.95%,"-2,200",-0.95%,3月,0.10%,,"2,322","2,324","2,300","86,142","37,300",7.71,0.70,6.08,298.4,"3,310.15",140,貸借,
,,,,3388,明治電機工業,東P,NISA,100,--,"1,432","1,833",↑,"+40,100",+28.00%,"143,200","183,300","1,852",-19,-1.03%,"-1,900",-1.03%,3月,0.10%,,"1,852","1,852","1,828","47,356","25,800",8.35,0.68,4.80,219.5,"2,700.65",88,貸借,
,,,,6178,日本郵政,東P,特定,100,--,"1,275","1,338",↑,"+6,300",+4.94%,"127,500","133,800","1,356",-18,-1.33%,"-1,800",-1.33%,3月,0.10%,,"1,350","1,354","1,336","4,753,514","3,543,700",10.46,0.44,3.74,127.9,"3,058.60",50,貸借,
,,,,5301,東海カーボン,東P,特定,200,--,"1,035","1,006",↑,"-5,800",-2.80%,"207,000","201,200","1,014",-8,-0.79%,"-1,600",-0.79%,12月,0.10%,,"1,003.5","1,014.5",999.3,"655,001","650,400",19.53,0.74,2.98,51.5,"1,356.42",30,貸借,
,,,,8511,日本証券金融,東P,NISA,100,--,"1,654","1,715",↓,"+6,100",+3.69%,"165,400","171,500","1,730",-15,-0.87%,"-1,500",-0.87%,3月,0.10%,,"1,724","1,731","1,715","250,691","145,700",14.71,1.05,4.66,116.6,"1,630.45",80 ~ 82,貸借,
,,,,4554,富士製薬工業,東P,NISA,100,--,"1,661","1,331",→,"-33,000",-19.87%,"166,100","133,100","1,342",-11,-0.82%,"-1,100",-0.82%,9月,0.10%,,"1,342","1,345","1,330","71,047","53,100",9.62,0.71,3.42,138.4,"1,871.64",45.5,貸借,
,,,,8029,ルックホールディングス,東S,特定,100,--,"2,568","2,433",↓,"-13,500",-5.26%,"256,800","243,300","2,444",-11,-0.45%,"-1,100",-0.45%,12月,0.10%,,"2,446","2,448","2,430","22,216","9,100",12.96,0.48,4.11,187.7,"5,083.79",100,貸借,
,,,,8035,東京エレクトロン,東P,NISA,20,--,"23,218","27,125",↑,"+78,140",+16.83%,"464,360","542,500","27,175",-50,-0.18%,"-1,000",-0.18%,3月,0.10%,,"27,000","27,300","26,860","55,043,970","2,033,000",21.95,6.75,2.28,"1,235.5","4,016.34",618,貸借,
,,,,6677,エスケーエレクトロニクス,東S,特定,100,--,"1,899","2,685",↓,"+78,600",+41.39%,"189,900","268,500","2,691",-6,-0.22%,-600,-0.22%,9月,0.10%,,"2,732","2,733","2,685","81,001","29,900",10.33,0.86,4.77,260.0,"3,137.96",128,信用,
,,,,6677,エスケーエレクトロニクス,東S,NISA,100,--,"3,110","2,685",↓,"-42,500",-13.67%,"311,000","268,500","2,691",-6,-0.22%,-600,-0.22%,9月,0.10%,,"2,732","2,733","2,685","81,001","29,900",10.33,0.86,4.77,260.0,"3,137.96",128,信用,
,,,,2114,フジ日本,東S,NISA,100,--,"1,077","1,072",→,-500,-0.46%,"107,700","107,200","1,073",-1,-0.09%,-100,-0.09%,3月,0.75%,,"1,075","1,076","1,071","6,336","5,900",11.95,1.15,3.17,89.7,928.90,34,貸借,
,,,,6675,サクサ,東S,特定,100,--,"2,905","4,020",→,"+111,500",+38.38%,"290,500","402,000","4,020",0,0.00%,0,0.00%,3月,0.10%,,"4,015","4,055","4,010","54,390","13,500",15.57,0.76,5.97,258.2,"5,314.33",240,貸借,
,,,,6675,サクサ,東S,NISA,100,--,"3,119","4,020",→,"+90,100",+28.89%,"311,900","402,000","4,020",0,0.00%,0,0.00%,3月,0.10%,,"4,015","4,055","4,010","54,390","13,500",15.57,0.76,5.97,258.2,"5,314.33",240,貸借,
,,,,9434,ソフトバンク,東P,NISA,100,--,196,222.2,↑,"+2,620",+13.37%,"19,600","22,220",222.2,0,0.00%,0,0.00%,3月,0.10%,,222,223.1,221,"7,828,766","35,271,600",19.66,4.36,3.87,11.3,50.96,8.6,貸借,
,,,,9163,ナレルグループ,東G,NISA,100,--,"3,550","2,253",↑,"-129,700",-36.54%,"355,000","225,300","2,251",+2,+0.09%,+200,+0.09%,10月,0.40%,,"2,251","2,265","2,241","73,230","32,500",8.46,1.41,5.10,266.4,"1,596.72",115,信用,
,,,,9432,ＮＴＴ,東P,特定,"1,100",--,158,155.3,↑,"-2,970",-1.71%,"173,800","170,830",153.9,+1.4,+0.91%,"+1,540",+0.91%,3月,0.10%,,155.4,156.4,154.2,"19,759,626","127,294,000",12.52,1.26,3.41,12.4,123.54,5.3,貸借,
,,,,6417,ＳＡＮＫＹＯ,東P,NISA,100,--,"1,828","2,689",↑,"+86,100",+47.10%,"182,800","268,900","2,668.5",+20.5,+0.77%,"+2,050",+0.77%,3月,0.10%,,"2,670.5","2,695","2,663","2,104,173","783,900",12.95,2.08,3.35,207.7,"1,290.54",90,貸借,
,,,,8253,クレディセゾン,東P,NISA,100,--,"2,767","4,004",↓,"+123,700",+44.71%,"276,700","400,400","3,956",+48,+1.21%,"+4,800",+1.21%,3月,0.10%,,"3,997","4,032","3,976","1,856,465","463,600",8.75,0.84,3.25,457.7,"4,740.04",130,貸借,
