
約定履歴照会

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2025年01月01日","2025年07月08日","8549","1","8549"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2025/01/06","新光電気工業","6967","PTS（J）",株式現物買,"--"," 特定 ","--",200,5760,--,--,"2025/01/09",1152000
"2025/01/06","セブン＆アイ・ホールディングス","3382","東証",信用返済売,"無期限"," 特定 ","申告",500,2440,70,--,"2025/01/08",-6320
"2025/01/06","コムチュア","3844","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,2140,13,--,"2025/01/08",7
"2025/01/06","コムチュア","3844","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,2140,13,--,"2025/01/08",17
"2025/01/06","日本製鉄","5401","東証",信用返済売,"6ヶ月"," 特定 ","申告",200,3158,39,--,"2025/01/08",1561
"2025/01/06","アドバンテスト","6857","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,9302,58,--,"2025/01/08",-11958
"2025/01/06","アドバンテスト","6857","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,9302,57,--,"2025/01/08",4643
"2025/01/06","ネクステージ","3186","東証",信用新規買,"6ヶ月"," 特定 ","--",300,1440,--,--,"2025/01/08",--
"2025/01/06","セブン＆アイ・ホールディングス","3382","東証",信用新規買,"無期限"," 特定 ","--",500,2452.5,--,--,"2025/01/08",--
"2025/01/06","セブン＆アイ・ホールディングス","3382","PTS（X）",信用新規買,"6ヶ月"," 特定 ","--",100,2441.2,--,--,"2025/01/08",--
"2025/01/06","セブン＆アイ・ホールディングス","3382","PTS（X）",信用新規買,"6ヶ月"," 特定 ","--",200,2441.4,--,--,"2025/01/08",--
"2025/01/06","セブン＆アイ・ホールディングス","3382","PTS（X）",信用新規買,"6ヶ月"," 特定 ","--",100,2441.3,--,--,"2025/01/08",--
"2025/01/06","セブン＆アイ・ホールディングス","3382","PTS（X）",信用新規買,"6ヶ月"," 特定 ","--",100,2441.1,--,--,"2025/01/08",--
