銘柄,銘柄,銘柄,取引区分,期限,預り区分,約定日,受渡日,株数,平均約定単価,手数料・諸経費等,課税額・譲渡益税,受渡金額・決済損益,受渡金額(日計り分)
3498,霞ヶ関キャピタル,東P,信用新規買,６ヵ月,特定,2025/07/04,2025/07/08,200,"16,348.5",--,--,--,--
3498,霞ヶ関キャピタル,東P,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,200,"16,250",--,--,"-19,700",--
372A,レント,東S,信用新規買,６ヵ月,特定,2025/07/04,2025/07/08,200,"6,270",--,--,--,--
372A,レント,東S,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,200,"6,080",--,--,"-38,000",--
6146,ディスコ,東P,信用新規買,６ヵ月,特定,2025/07/04,2025/07/08,100,"41,178.9",--,--,--,--
6146,ディスコ,東P,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,100,"40,810",--,--,"-36,890",--
6526,ソシオネクスト,東P,信用新規買,６ヵ月,特定,2025/07/04,2025/07/08,300,"2,714.4",--,--,--,--
6526,ソシオネクスト,東P,信用返済売,無期限,特定,2025/07/04,2025/07/08,400,"2,690.5",166,--,"-7,546",--
6857,アドバンテスト,東P,信用新規買,６ヵ月,特定,2025/07/04,2025/07/08,300,"10,740.6",--,--,--,--
6857,アドバンテスト,東P,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,300,"10,725",--,468,"-5,158",--
6920,レーザーテック,東P,信用新規買,６ヵ月,特定,2025/07/04,2025/07/08,200,"18,790.9",--,--,--,--
6920,レーザーテック,東P,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,200,"18,730.1",--,317,"-12,487",--
7453,良品計画,東P,信用新規買,６ヵ月,特定,2025/07/04,2025/07/08,"1,500","6,913.9",--,--,--,--
7453,良品計画,東P,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,"1,500","6,920",--,"4,852","4,158",--
7481,尾家産業,東S,現物買,--,NISA,2025/07/04,2025/07/08,100,"2,104",--,--,"210,400",--
9275,ナルミヤ・インターナショナル,東S,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,400,"1,504",96,--,"-31,696",--
9369,キユーソー流通システム,東S,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,200,"2,784",89,--,"-25,689",--
