銘柄,銘柄,銘柄,取引区分,期限,預り区分,約定日,受渡日,株数,平均約定単価,手数料・諸経費等,課税額・譲渡益税,受渡金額・決済損益,受渡金額(日計り分)
281A,インフォメティス,PTS(X),信用返済売,６ヵ月,特定,2025/07/03,2025/07/07,100,"1,074.4",7,--,"7,433",--
281A,インフォメティス,PTS(X),信用返済売,６ヵ月,特定,2025/07/03,2025/07/07,100,"1,074.4",7,--,"7,433",--
281A,インフォメティス,PTS(X),信用返済売,６ヵ月,特定,2025/07/03,2025/07/07,300,"1,074.4",23,--,"21,997",--
6857,アドバンテスト,東証,信用返済売,６ヵ月,特定,2025/07/03,2025/07/07,200,"10,530",162,--,"-10,162",--
6857,アドバンテスト,東証,信用返済売,６ヵ月,特定,2025/07/03,2025/07/07,100,"10,530",80,--,"3,210",--
6920,レーザーテック,東証,信用返済売,６ヵ月,特定,2025/07/03,2025/07/07,100,"18,890",144,--,"9,026",--
6963,ローム,東証,信用返済売,６ヵ月,特定,2025/07/03,2025/07/07,500,"1,843.5",70,--,"-1,570",--
6963,ローム,東証,信用返済売,６ヵ月,特定,2025/07/03,2025/07/07,200,"1,843.5",28,--,-608,--
6963,ローム,東証,信用返済売,６ヵ月,特定,2025/07/03,2025/07/07,100,"1,843.5",14,--,-294,--
6963,ローム,PTS(X),信用返済売,６ヵ月,特定,2025/07/03,2025/07/07,300,"1,829.6",41,--,"2,839",--
6963,ローム,PTS(X),信用返済売,６ヵ月,特定,2025/07/03,2025/07/07,200,"1,829.7",27,--,"1,933",--
6963,ローム,東証,信用返済売,６ヵ月,特定,2025/07/03,2025/07/07,200,"1,843.5",28,--,-728,--
9369,キユーソー流通システム,PTS(X),信用返済売,６ヵ月,特定,2025/07/03,2025/07/07,100,"2,921.3",22,--,908,--
281A,インフォメティス,PTS(X),信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,100,"1,000",--,--,--,--
281A,インフォメティス,東証,信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,300,"1,001",--,--,--,--
281A,インフォメティス,東証,信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,100,"1,000",--,--,--,--
6857,アドバンテスト,東証,信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,200,"10,580",--,--,--,--
6857,アドバンテスト,PTS(O),信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,100,"10,497.1",--,--,--,--
6920,レーザーテック,PTS(O),信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,100,"18,798.3",--,--,--,--
6963,ローム,PTS(X),信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,200,"1,846.4",--,--,--,--
6963,ローム,東証,信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,500,"1,846.5",--,--,--,--
6963,ローム,PTS(X),信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,300,"1,820",--,--,--,--
6963,ローム,PTS(X),信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,100,"1,846.3",--,--,--,--
6963,ローム,PTS(X),信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,200,"1,819.9",--,--,--,--
6963,ローム,東証,信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,200,"1,847",--,--,--,--
9275,ナルミヤ・インターナショナル,東証,信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,300,"1,574",--,--,--,--
9275,ナルミヤ・インターナショナル,東証,信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,100,"1,610",--,--,--,--
9369,キユーソー流通システム,東証,信用新規買,６ヵ月,特定,2025/07/03,2025/07/07,300,"2,912",--,--,--,--
6028,テクノプロ・ホールディングス,PTS(O),信用返済売,６ヵ月,特定,2025/07/02,2025/07/04,100,"4,115.1",616,--,"7,994",--
6028,テクノプロ・ホールディングス,PTS(O),信用返済売,６ヵ月,特定,2025/07/02,2025/07/04,100,"4,115",616,--,"7,884",--
6028,テクノプロ・ホールディングス,PTS(O),信用返済売,６ヵ月,特定,2025/07/02,2025/07/04,100,"4,115.1",616,--,"7,894",--
6028,テクノプロ・ホールディングス,PTS(O),信用返済売,６ヵ月,特定,2025/07/02,2025/07/04,100,"4,115",616,--,"7,784",--
6028,テクノプロ・ホールディングス,PTS(X),信用返済売,６ヵ月,特定,2025/07/02,2025/07/04,100,"4,114.1",616,--,"7,894",--
6146,ディスコ,東証,信用返済売,６ヵ月,特定,2025/07/02,2025/07/04,100,"40,860","3,647",--,"412,353",--
6146,ディスコ,東証,信用返済売,６ヵ月,特定,2025/07/02,2025/07/04,100,"40,930",313,--,"6,687",--
6146,ディスコ,東証,信用返済売,６ヵ月,特定,2025/07/02,2025/07/04,100,"40,860",315,--,"-23,315",--
